Farfield Name,Separation S1-S2,Separation S2-S3,Peak,Peak %ch,P-to-P,P-to-P %ch,P/B,P/B %ch,X-corr,AvgdB,MaxdB,MaxPhase,Dropout Legal,X-corr Legal
3150T__035_2000_040_040,40,40,68.6,-0.4,135.5,2.6,60.6,15.2,0.9785,0.94,1.7,6.8870000000000005,False,red
3150T__035_2000_040_045,40,45,68.8,-0.1,135.9,2.9,59.7,13.5,0.9824,0.86,1.7,6.39,False,red
3150T__035_2000_040_050,40,50,68.9,0.1,135.8,2.8,59.2,12.5,0.986,0.78,1.6,6.2139999999999995,False,red
3150T__035_2000_040_055,40,55,69.0,0.1,135.5,2.6,58.9,12.0,0.9892,0.71,1.5,5.942,False,red
3150T__035_2000_040_060,40,60,69.0,0.1,134.9,2.2,58.6,11.4,0.9918,0.65,1.4,5.582000000000001,False,yellow
3150T__035_2000_040_065,40,65,69.0,0.1,134.2,1.6,58.4,10.9,0.9936,0.59,1.3,5.153,False,yellow
3150T__035_2000_040_070,40,70,68.9,0.0,133.5,1.1,58.2,10.6,0.9948,0.53,1.2,4.648,False,yellow
3150T__035_2000_040_075,40,75,68.9,-0.0,132.8,0.6,57.7,9.6,0.9953,0.48,1.1,4.2330000000000005,False,yellow
3150T__035_2000_040_080,40,80,68.9,-0.1,132.2,0.1,57.3,8.9,0.9953,0.44,1.1,4.15,False,yellow
3150T__035_2000_040_085,40,85,68.8,-0.1,131.7,-0.3,57.0,8.3,0.9949,0.4,1.0,4.073,False,yellow
3150T__035_2000_040_090,40,90,68.8,-0.1,131.2,-0.6,56.8,7.9,0.9942,0.37,0.9,4.007,False,yellow
3150T__035_2000_040_095,40,95,68.8,-0.1,130.9,-0.9,56.4,7.1,0.9934,0.34,0.9,3.949,False,yellow
3150T__035_2000_040_100,40,100,68.8,-0.1,130.7,-1.1,56.1,6.7,0.9925,0.32,0.8,3.886,False,yellow
3150T__035_2000_040_105,40,105,68.9,-0.0,130.5,-1.2,56.0,6.5,0.9916,0.3,0.8,3.807,False,yellow
3150T__035_2000_040_110,40,110,68.9,-0.0,130.4,-1.3,55.9,6.2,0.9906,0.28,0.8,3.727,False,yellow
3150T__035_2000_040_115,40,115,68.9,0.0,130.3,-1.3,55.8,6.0,0.9897,0.27,0.8,3.655,False,red
3150T__035_2000_040_120,40,120,68.9,0.0,130.3,-1.3,55.5,5.5,0.9889,0.27,0.7,3.5810000000000004,False,red
3150T__035_2000_045_040,45,40,68.8,-0.1,135.9,2.9,59.9,13.8,0.9824,0.86,1.6,6.468999999999999,False,red
3150T__035_2000_045_045,45,45,69.1,0.3,136.3,3.2,59.2,12.6,0.9855,0.77,1.5,6.2829999999999995,False,red
3150T__035_2000_045_050,45,50,69.2,0.5,136.3,3.2,58.8,11.7,0.9884,0.7,1.4,5.942,False,red
3150T__035_2000_045_055,45,55,69.3,0.6,136.1,3.0,58.4,11.0,0.991,0.63,1.3,5.528,False,yellow
3150T__035_2000_045_060,45,60,69.3,0.6,135.7,2.7,58.6,11.3,0.993,0.56,1.2,5.0680000000000005,False,yellow
3150T__035_2000_045_065,45,65,69.2,0.5,135.1,2.3,58.2,10.6,0.9946,0.5,1.1,4.564,False,yellow
3150T__035_2000_045_070,45,70,69.2,0.5,134.5,1.8,57.8,9.8,0.9956,0.45,1.0,4.021,False,yellow
3150T__035_2000_045_075,45,75,69.2,0.4,133.9,1.4,57.3,8.9,0.9961,0.4,0.9,3.603,False,green
3150T__035_2000_045_080,45,80,69.1,0.3,133.3,0.9,56.8,8.0,0.9961,0.36,0.8,3.4930000000000003,False,green
3150T__035_2000_045_085,45,85,69.1,0.3,132.7,0.5,56.4,7.2,0.9959,0.32,0.8,3.372,False,yellow
3150T__035_2000_045_090,45,90,69.1,0.3,132.3,0.2,56.1,6.6,0.9955,0.29,0.7,3.3080000000000003,False,yellow
3150T__035_2000_045_095,45,95,69.1,0.3,131.9,-0.1,55.7,5.9,0.995,0.26,0.7,3.1919999999999997,False,yellow
3150T__035_2000_045_100,45,100,69.1,0.3,131.6,-0.3,55.4,5.4,0.9943,0.24,0.6,3.1039999999999996,False,yellow
3150T__035_2000_045_105,45,105,69.1,0.3,131.4,-0.5,55.3,5.1,0.9936,0.22,0.6,3.014,False,yellow
3150T__035_2000_045_110,45,110,69.1,0.3,131.3,-0.6,55.1,4.8,0.9929,0.21,0.5,2.909,False,yellow
3150T__035_2000_045_115,45,115,69.2,0.4,131.2,-0.6,55.0,4.5,0.9922,0.2,0.5,2.8169999999999997,False,yellow
3150T__035_2000_045_120,45,120,69.2,0.4,131.2,-0.6,54.9,4.3,0.9915,0.2,0.5,2.79,False,yellow
3150T__035_2000_050_040,50,40,69.0,0.1,135.9,2.9,59.6,13.3,0.9861,0.78,1.4,6.332000000000001,False,red
3150T__035_2000_050_045,50,45,69.2,0.5,136.3,3.2,58.9,12.0,0.9884,0.69,1.3,5.995,False,red
3150T__035_2000_050_050,50,50,69.4,0.7,136.5,3.4,58.8,11.7,0.9907,0.62,1.2,5.5360000000000005,False,yellow
3150T__035_2000_050_055,50,55,69.4,0.8,136.4,3.3,58.4,11.0,0.9927,0.55,1.1,5.058,False,yellow
3150T__035_2000_050_060,50,60,69.4,0.8,136.1,3.1,58.1,10.3,0.9943,0.49,1.0,4.5489999999999995,False,yellow
3150T__035_2000_050_065,50,65,69.4,0.7,135.6,2.7,57.7,9.6,0.9956,0.43,0.9,4.037,False,yellow
3150T__035_2000_050_070,50,70,69.3,0.7,135.1,2.3,57.2,8.7,0.9964,0.38,0.8,3.48,False,green
3150T__035_2000_050_075,50,75,69.3,0.6,134.5,1.8,56.7,7.8,0.9969,0.33,0.7,2.923,False,green
3150T__035_2000_050_080,50,80,69.2,0.5,133.9,1.4,56.3,7.0,0.9971,0.29,0.6,2.694,False,green
3150T__035_2000_050_085,50,85,69.2,0.4,133.4,1.0,55.9,6.3,0.9971,0.25,0.6,2.572,False,green
3150T__035_2000_050_090,50,90,69.2,0.4,132.9,0.6,55.6,5.6,0.9969,0.22,0.5,2.46,False,green
3150T__035_2000_050_095,50,95,69.2,0.4,132.5,0.3,55.2,5.0,0.9966,0.19,0.5,2.334,False,green
3150T__035_2000_050_100,50,100,69.2,0.4,132.2,0.1,55.0,4.5,0.9962,0.17,0.4,2.249,False,green
3150T__035_2000_050_105,50,105,69.2,0.5,132.0,-0.1,54.8,4.1,0.9957,0.16,0.4,2.1319999999999997,False,yellow
3150T__035_2000_050_110,50,110,69.2,0.5,131.8,-0.2,54.6,3.7,0.9952,0.15,0.4,2.012,False,yellow
3150T__035_2000_050_115,50,115,69.3,0.6,131.7,-0.2,54.4,3.4,0.9946,0.14,0.3,2.0269999999999997,False,yellow
3150T__035_2000_050_120,50,120,69.3,0.6,131.7,-0.3,54.3,3.2,0.994,0.15,0.3,2.318,False,yellow
3150T__035_2000_055_040,55,40,69.0,0.2,135.5,2.6,59.0,12.1,0.9893,0.71,1.3,6.0329999999999995,False,red
3150T__035_2000_055_045,55,45,69.3,0.6,136.1,3.1,58.3,10.8,0.991,0.63,1.1,5.587000000000001,False,yellow
3150T__035_2000_055_050,55,50,69.4,0.8,136.4,3.3,58.1,10.5,0.9926,0.55,1.0,5.06,False,yellow
3150T__035_2000_055_055,55,55,69.5,0.9,136.4,3.3,57.8,9.9,0.9942,0.48,0.9,4.546,False,yellow
3150T__035_2000_055_060,55,60,69.5,0.9,136.2,3.1,57.5,9.3,0.9955,0.42,0.8,4.033,False,yellow
3150T__035_2000_055_065,55,65,69.4,0.8,135.8,2.8,57.1,8.5,0.9965,0.36,0.7,3.5239999999999996,False,green
3150T__035_2000_055_070,55,70,69.4,0.7,135.3,2.4,56.6,7.7,0.9972,0.31,0.6,2.9789999999999996,False,green
3150T__035_2000_055_075,55,75,69.3,0.6,134.7,2.0,56.2,6.8,0.9977,0.27,0.5,2.456,False,green
3150T__035_2000_055_080,55,80,69.2,0.5,134.1,1.6,55.7,5.9,0.998,0.23,0.5,2.02,False,green
3150T__035_2000_055_085,55,85,69.2,0.4,133.6,1.2,55.4,5.3,0.9981,0.19,0.4,1.876,True,green
3150T__035_2000_055_090,55,90,69.2,0.4,133.1,0.8,55.0,4.5,0.9981,0.16,0.4,1.7819999999999998,True,green
3150T__035_2000_055_095,55,95,69.2,0.4,132.7,0.5,54.6,3.9,0.998,0.13,0.3,1.651,False,green
3150T__035_2000_055_100,55,100,69.2,0.5,132.4,0.2,54.4,3.3,0.9978,0.12,0.3,1.536,False,green
3150T__035_2000_055_105,55,105,69.2,0.5,132.1,0.0,54.2,2.9,0.9974,0.11,0.3,1.4469999999999998,False,green
3150T__035_2000_055_110,55,110,69.3,0.6,132.0,-0.1,54.0,2.6,0.9971,0.1,0.2,1.598,False,green
3150T__035_2000_055_115,55,115,69.3,0.6,131.9,-0.1,53.8,2.3,0.9966,0.1,0.2,1.9180000000000001,False,green
3150T__035_2000_055_120,55,120,69.3,0.7,131.9,-0.1,53.7,2.1,0.9961,0.11,0.2,2.278,False,green
3150T__035_2000_060_040,60,40,69.0,0.2,135.0,2.2,58.1,10.4,0.9918,0.64,1.1,5.67,False,yellow
3150T__035_2000_060_045,60,45,69.3,0.6,135.7,2.7,57.7,9.7,0.993,0.56,1.0,5.117,False,yellow
3150T__035_2000_060_050,60,50,69.4,0.8,136.1,3.1,57.6,9.4,0.9943,0.49,0.9,4.561,False,yellow
3150T__035_2000_060_055,60,55,69.5,0.9,136.2,3.1,57.3,8.8,0.9955,0.42,0.7,4.025,False,yellow
3150T__035_2000_060_060,60,60,69.5,0.8,136.1,3.0,56.9,8.1,0.9965,0.36,0.6,3.535,False,green
3150T__035_2000_060_065,60,65,69.4,0.7,135.7,2.7,56.5,7.4,0.9973,0.3,0.6,3.03,False,green
3150T__035_2000_060_070,60,70,69.3,0.6,135.2,2.4,56.1,6.5,0.998,0.25,0.5,2.528,False,green
3150T__035_2000_060_075,60,75,69.2,0.5,134.6,1.9,55.6,5.6,0.9985,0.21,0.4,2.0269999999999997,True,green
3150T__035_2000_060_080,60,80,69.2,0.4,134.0,1.5,55.1,4.8,0.9988,0.17,0.4,1.5130000000000001,True,green
3150T__035_2000_060_085,60,85,69.1,0.4,133.5,1.1,54.7,4.0,0.999,0.14,0.3,1.338,True,green
3150T__035_2000_060_090,60,90,69.1,0.3,133.0,0.7,54.3,3.2,0.999,0.11,0.3,1.216,True,green
3150T__035_2000_060_095,60,95,69.1,0.4,132.5,0.4,54.0,2.6,0.999,0.09,0.2,1.091,True,green
3150T__035_2000_060_100,60,100,69.2,0.4,132.2,0.1,53.6,1.9,0.9989,0.07,0.2,0.977,True,green
3150T__035_2000_060_105,60,105,69.2,0.5,132.0,-0.1,53.4,1.5,0.9987,0.07,0.1,1.215,True,green
3150T__035_2000_060_110,60,110,69.3,0.5,131.8,-0.2,53.2,1.2,0.9984,0.07,0.1,1.521,True,green
3150T__035_2000_060_115,60,115,69.3,0.6,131.7,-0.3,53.1,0.9,0.998,0.07,0.2,1.953,False,green
3150T__035_2000_060_120,60,120,69.3,0.6,131.7,-0.3,52.9,0.6,0.9976,0.08,0.2,2.3480000000000003,False,green
3150T__035_2000_065_040,65,40,69.0,0.1,134.3,1.7,57.5,9.3,0.9936,0.58,1.0,5.2,False,yellow
3150T__035_2000_065_045,65,45,69.3,0.6,135.2,2.3,57.2,8.7,0.9946,0.5,0.9,4.61,False,yellow
3150T__035_2000_065_050,65,50,69.4,0.8,135.7,2.7,57.0,8.3,0.9956,0.43,0.7,4.005,False,yellow
3150T__035_2000_065_055,65,55,69.4,0.8,135.8,2.9,56.7,7.8,0.9965,0.36,0.6,3.5039999999999996,False,green
3150T__035_2000_065_060,65,60,69.4,0.8,135.7,2.8,56.4,7.1,0.9973,0.31,0.5,3.023,False,green
3150T__035_2000_065_065,65,65,69.3,0.6,135.4,2.5,55.9,6.3,0.998,0.25,0.4,2.5610000000000004,False,green
3150T__035_2000_065_070,65,70,69.2,0.5,134.9,2.1,55.5,5.4,0.9986,0.2,0.4,2.083,True,green
3150T__035_2000_065_075,65,75,69.2,0.4,134.3,1.7,54.9,4.4,0.9991,0.16,0.3,1.614,True,green
3150T__035_2000_065_080,65,80,69.1,0.3,133.7,1.2,54.5,3.6,0.9994,0.12,0.3,1.15,True,green
3150T__035_2000_065_085,65,85,69.1,0.2,133.2,0.8,54.0,2.7,0.9995,0.09,0.2,0.873,True,green
3150T__035_2000_065_090,65,90,69.0,0.2,132.6,0.4,53.6,1.9,0.9996,0.06,0.2,0.741,True,green
3150T__035_2000_065_095,65,95,69.1,0.3,132.2,0.1,53.2,1.2,0.9996,0.05,0.1,0.628,True,green
3150T__035_2000_065_100,65,100,69.1,0.3,131.8,-0.2,52.9,0.6,0.9995,0.04,0.1,0.883,True,green
3150T__035_2000_065_105,65,105,69.2,0.4,131.5,-0.4,52.7,0.1,0.9994,0.05,0.1,1.272,True,green
3150T__035_2000_065_110,65,110,69.2,0.5,131.4,-0.5,52.5,-0.2,0.9991,0.06,0.2,1.683,True,green
3150T__035_2000_065_115,65,115,69.3,0.5,131.3,-0.6,52.3,-0.5,0.9988,0.07,0.2,2.0709999999999997,True,green
3150T__035_2000_065_120,65,120,69.3,0.6,131.3,-0.6,52.2,-0.8,0.9985,0.09,0.2,2.447,True,green
3150T__035_2000_070_040,70,40,68.9,0.1,133.6,1.2,56.9,8.2,0.9948,0.53,0.9,4.675,False,yellow
3150T__035_2000_070_045,70,45,69.2,0.5,134.6,1.9,56.6,7.6,0.9956,0.45,0.8,4.026,False,yellow
3150T__035_2000_070_050,70,50,69.4,0.7,135.1,2.3,56.5,7.3,0.9964,0.37,0.6,3.4389999999999996,False,green
3150T__035_2000_070_055,70,55,69.4,0.7,135.3,2.5,56.2,6.7,0.9972,0.31,0.5,2.95,False,green
3150T__035_2000_070_060,70,60,69.3,0.6,135.2,2.4,55.8,6.1,0.998,0.25,0.4,2.508,False,green
3150T__035_2000_070_065,70,65,69.2,0.5,134.9,2.1,55.3,5.1,0.9986,0.2,0.3,2.074,True,green
3150T__035_2000_070_070,70,70,69.2,0.4,134.4,1.8,54.9,4.3,0.9991,0.16,0.3,1.6340000000000001,True,green
3150T__035_2000_070_075,70,75,69.1,0.3,133.8,1.3,54.4,3.3,0.9995,0.11,0.2,1.193,True,green
3150T__035_2000_070_080,70,80,69.0,0.2,133.3,0.9,53.9,2.4,0.9997,0.08,0.2,0.778,True,green
3150T__035_2000_070_085,70,85,69.0,0.1,132.7,0.5,53.4,1.4,0.9999,0.04,0.1,0.494,True,green
3150T__035_2000_070_090,70,90,69.0,0.1,132.2,0.1,53.0,0.6,0.9999,0.03,0.1,0.353,True,green
3150T__035_2000_070_095,70,95,69.0,0.2,131.7,-0.3,52.5,-0.2,0.9999,0.03,0.1,0.6709999999999999,True,green
3150T__035_2000_070_100,70,100,69.1,0.2,131.3,-0.6,52.2,-0.8,0.9998,0.04,0.1,1.057,True,green
3150T__035_2000_070_105,70,105,69.1,0.3,131.0,-0.8,52.0,-1.2,0.9996,0.06,0.2,1.469,True,green
3150T__035_2000_070_110,70,110,69.2,0.4,130.9,-0.9,51.8,-1.6,0.9993,0.08,0.2,1.85,True,green
3150T__035_2000_070_115,70,115,69.2,0.4,130.8,-1.0,51.7,-1.8,0.999,0.1,0.2,2.206,True,green
3150T__035_2000_070_120,70,120,69.2,0.5,130.8,-1.0,51.5,-2.2,0.9987,0.11,0.2,2.548,True,green
3150T__035_2000_075_040,75,40,68.9,0.0,132.9,0.7,56.4,7.1,0.9953,0.47,0.8,4.489,False,yellow
3150T__035_2000_075_045,75,45,69.2,0.4,133.9,1.4,56.1,6.5,0.9961,0.39,0.7,3.42,False,green
3150T__035_2000_075_050,75,50,69.3,0.6,134.5,1.9,55.9,6.3,0.9969,0.32,0.6,2.845,False,green
3150T__035_2000_075_055,75,55,69.3,0.6,134.8,2.0,55.6,5.7,0.9977,0.26,0.4,2.414,False,green
3150T__035_2000_075_060,75,60,69.2,0.5,134.6,2.0,55.2,4.9,0.9985,0.21,0.3,2.036,True,green
3150T__035_2000_075_065,75,65,69.2,0.4,134.3,1.7,54.7,4.0,0.999,0.16,0.3,1.641,True,green
3150T__035_2000_075_070,75,70,69.1,0.3,133.9,1.4,54.2,3.1,0.9995,0.11,0.2,1.2,True,green
3150T__035_2000_075_075,75,75,69.0,0.2,133.3,0.9,53.7,2.1,0.9998,0.07,0.1,0.7829999999999999,True,green
3150T__035_2000_075_080,75,80,68.9,0.1,132.7,0.5,53.2,1.1,0.9999,0.04,0.1,0.382,True,green
3150T__035_2000_075_085,75,85,68.9,0.0,132.1,0.0,52.7,0.2,1.0,0.01,0.0,0.153,True,green
3150T__035_2000_075_090,75,90,68.9,0.0,131.5,-0.4,52.3,-0.6,1.0,0.03,0.1,0.494,True,green
3150T__035_2000_075_095,75,95,69.0,0.1,131.1,-0.7,51.9,-1.4,0.9998,0.05,0.1,0.895,True,green
3150T__035_2000_075_100,75,100,69.0,0.2,130.7,-1.0,51.5,-2.0,0.9996,0.07,0.1,1.285,True,green
3150T__035_2000_075_105,75,105,69.1,0.3,130.4,-1.2,51.3,-2.5,0.9994,0.09,0.2,1.639,True,green
3150T__035_2000_075_110,75,110,69.1,0.3,130.3,-1.4,51.1,-2.8,0.9991,0.11,0.2,2.008,True,green
3150T__035_2000_075_115,75,115,69.1,0.4,130.2,-1.4,51.0,-3.1,0.9988,0.12,0.2,2.35,True,green
3150T__035_2000_075_120,75,120,69.1,0.4,130.2,-1.4,50.8,-3.4,0.9985,0.14,0.2,2.6660000000000004,True,green
3150T__035_2000_080_040,80,40,68.9,-0.0,132.3,0.2,55.8,6.0,0.9953,0.43,0.8,4.3580000000000005,False,yellow
3150T__035_2000_080_045,80,45,69.1,0.4,133.3,1.0,55.5,5.5,0.9961,0.35,0.6,3.08,False,green
3150T__035_2000_080_050,80,50,69.2,0.5,134.0,1.4,55.4,5.3,0.9971,0.28,0.5,2.323,False,green
