FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.7.1
Comparison analysis performed by Marine Source Modelling version 1.11.1

Time window for computation (ms)   : -68.50  -  331.50
Primary pick window (ms)           : -68.50  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
4135H__050_2000_080             69.5       0.0     143.9       0.0      37.5       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
4135H__050_2000_065_040         70.7       1.8     142.4      -1.0      38.1       1.6    0.9919      0.66       1.2     8.071     Polar          0.00      0.00   9000.00
4135H__050_2000_065_045         71.1       2.3     143.4      -0.4      38.1       1.4    0.9932      0.56       1.0     7.082     Polar          0.00      0.00   9000.00
4135H__050_2000_065_050         71.2       2.4     143.9       0.0      38.0       1.2    0.9944      0.47       0.8     6.116     Polar          0.00      0.00   9000.00
4135H__050_2000_065_055         71.1       2.3     144.1       0.2      37.8       0.8    0.9955      0.40       0.7     5.165     Polar          0.00      0.00   9000.00
4135H__050_2000_065_060         70.9       2.1     144.1       0.2      37.6       0.4    0.9966      0.33       0.6     4.257     Polar          0.00      0.00   9000.00
4135H__050_2000_065_065         70.7       1.7     144.0       0.1      37.4      -0.2    0.9976      0.27       0.5     3.427     Polar          0.00      0.00   9000.00
4135H__050_2000_065_070         70.5       1.4     143.8      -0.1      37.2      -0.7    0.9984      0.22       0.4     2.716     Polar          0.00      0.00   9000.00
4135H__050_2000_065_075         70.2       1.1     143.6      -0.2      37.1      -1.2    0.9990      0.17       0.3     2.094     Polar          0.00      0.00   9000.00
4135H__050_2000_065_080         70.1       0.8     143.5      -0.3      36.9      -1.6    0.9995      0.12       0.2     1.517     Polar          0.00      0.00   9000.00
4135H__050_2000_065_085         70.0       0.7     143.5      -0.3      36.8      -1.9    0.9998      0.08       0.2     1.031     Polar          0.00      0.00   9000.00
4135H__050_2000_065_090         69.9       0.7     143.6      -0.2      36.7      -2.1    0.9998      0.05       0.1     0.755     Polar          0.00      0.00   9000.00
4135H__050_2000_065_095         70.0       0.8     143.8      -0.1      36.7      -2.2    0.9997      0.04       0.1     0.619     Polar          0.00      0.00   9000.00
4135H__050_2000_065_100         70.2       1.0     144.1       0.1      36.6      -2.3    0.9995      0.04       0.1     0.888     Polar          0.00      0.00   9000.00
4135H__050_2000_065_105         70.4       1.3     144.3       0.3      36.6      -2.4    0.9991      0.05       0.1     1.175     Polar          0.00      0.00   9000.00
4135H__050_2000_065_110         70.6       1.6     144.4       0.4      36.5      -2.6    0.9987      0.06       0.2     1.478     Polar          0.00      0.00   9000.00
4135H__050_2000_065_115         70.7       1.8     144.3       0.3      36.4      -2.9    0.9982      0.07       0.2     1.813     Polar          0.00      0.00   9000.00
4135H__050_2000_065_120         70.8       1.9     144.0       0.1      36.3      -3.3    0.9977      0.09       0.3     2.144     Polar          0.00      0.00   9000.00
