FARFIELD COMPARISON ANALYSIS FILE

Comparison analysis performed by Nucleus+ version 2.8.0
Comparison analysis performed by Marine Source Modelling version 2.0.0

Time window for computation (ms)   : -73.00  -  327.00
Primary pick window (ms)           : -73.00  -   30.00
Bubble pick window (ms)            :  50.00  -  200.00

Frequency analysis option  : Average absolute spectral deviation
Bandwidth of analysis (Hz) :  10.00  -   70.00


         Farfield name          Peak       %ch    P-to-P       %ch       P/B       %ch    X-corr     AvgdB      MaxdB   MaxPhase   Coordinates     Dip/X     Az/Y    Dist/Z
3150T__035_2000_080             68.9       0.0     132.1       0.0      52.6       0.0    1.0000      0.00       0.0     0.000     Polar          0.00      0.00   9000.00
3150T__035_2000_055_040         69.0       0.2     135.5       2.6      59.0      12.1    0.9893      0.71       1.3     6.033     Polar          0.00      0.00   9000.00
3150T__035_2000_055_045         69.3       0.6     136.1       3.1      58.3      10.8    0.9910      0.63       1.1     5.587     Polar          0.00      0.00   9000.00
3150T__035_2000_055_050         69.4       0.8     136.4       3.3      58.1      10.5    0.9926      0.55       1.0     5.060     Polar          0.00      0.00   9000.00
3150T__035_2000_055_055         69.5       0.9     136.4       3.3      57.8       9.9    0.9942      0.48       0.9     4.546     Polar          0.00      0.00   9000.00
3150T__035_2000_055_060         69.5       0.9     136.2       3.1      57.5       9.3    0.9955      0.42       0.8     4.033     Polar          0.00      0.00   9000.00
3150T__035_2000_055_065         69.4       0.8     135.8       2.8      57.1       8.5    0.9965      0.36       0.7     3.524     Polar          0.00      0.00   9000.00
3150T__035_2000_055_070         69.4       0.7     135.3       2.4      56.6       7.7    0.9972      0.31       0.6     2.979     Polar          0.00      0.00   9000.00
3150T__035_2000_055_075         69.3       0.6     134.7       2.0      56.2       6.8    0.9977      0.27       0.5     2.456     Polar          0.00      0.00   9000.00
3150T__035_2000_055_080         69.2       0.5     134.1       1.6      55.7       5.9    0.9980      0.23       0.5     2.020     Polar          0.00      0.00   9000.00
3150T__035_2000_055_085         69.2       0.4     133.6       1.2      55.4       5.3    0.9981      0.19       0.4     1.876     Polar          0.00      0.00   9000.00
3150T__035_2000_055_090         69.2       0.4     133.1       0.8      55.0       4.5    0.9981      0.16       0.4     1.782     Polar          0.00      0.00   9000.00
3150T__035_2000_055_095         69.2       0.4     132.7       0.5      54.6       3.9    0.9980      0.13       0.3     1.651     Polar          0.00      0.00   9000.00
3150T__035_2000_055_100         69.2       0.5     132.4       0.2      54.4       3.3    0.9978      0.12       0.3     1.536     Polar          0.00      0.00   9000.00
3150T__035_2000_055_105         69.2       0.5     132.1       0.0      54.2       2.9    0.9974      0.11       0.3     1.447     Polar          0.00      0.00   9000.00
3150T__035_2000_055_110         69.3       0.6     132.0      -0.1      54.0       2.6    0.9971      0.10       0.2     1.598     Polar          0.00      0.00   9000.00
3150T__035_2000_055_115         69.3       0.6     131.9      -0.1      53.8       2.3    0.9966      0.10       0.2     1.918     Polar          0.00      0.00   9000.00
3150T__035_2000_055_120         69.3       0.7     131.9      -0.1      53.7       2.1    0.9961      0.11       0.2     2.278     Polar          0.00      0.00   9000.00
